ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,hit_rate,avg_weekly_turnover,annual_turnover,avg_max_weight,avg_effective_n,avg_hhi,weight_instability,allocation_instability,psr_zero,psr_selection,observations,method_name,category
0.07184259193007647,0.09707702099930754,0.7400576489732718,-0.1932835051185221,0.3716954112872816,-0.03205029008469833,0.5846846846846847,,,,,,,,0.9996485889612576,0.9651517129969095,1110,equal_weight,baseline
0.07048805396416813,0.09392675198753771,0.7504576967967609,-0.18775306114650014,0.3754295857214687,-0.031054186427432694,0.5846846846846847,,,,,,,,0.999689792703435,0.967693821901892,1110,inverse_vol,baseline
0.07036108221119708,0.09369497880329772,0.7509589426228743,-0.18742977113614812,0.37539971256800564,-0.03097807333334917,0.5846846846846847,,,,,,,,0.9996912909960852,0.967788908716573,1110,min_variance,classical_optimization
0.07206732708289443,0.09609954388420083,0.7499237162845952,-0.18893064723041786,0.3814485798855167,-0.0316763252557202,0.5837837837837838,,,,,,,,0.9996963645100077,0.9681123672656451,1110,mvo_ic,classical_optimization
0.0828240895321688,0.1169010938024912,0.7084971306778636,-0.20191380304756423,0.4101952827497295,-0.03825342777616895,0.5738738738738739,,,,,,,,0.9995372083284135,0.9588613578065031,1110,max_sharpe_ic,classical_optimization
0.07022096521240173,0.09343468638434739,0.7515513556019756,-0.1870806692081184,0.37535126162224824,-0.030891564575273082,0.5846846846846847,,,,,,,,0.999693068903485,0.9679019974250599,1110,black_litterman_regime,classical_optimization
0.07050565536490438,0.09397219641046647,0.75028208404259,-0.18784976908319062,0.3753300081709467,-0.031069142460286334,0.5846846846846847,,,,,,,,0.9996890916870812,0.9676494005070823,1110,erc_risk_parity,risk_based
0.07169382296978855,0.09028216300868763,0.794108388418758,-0.16322010189345126,0.4392462824008631,-0.029839909414042774,0.5882882882882883,,,,,,,,0.9998450754634206,0.9789396227434863,1110,hrp,hierarchical
0.07432110831580974,0.09970401961652949,0.7454173723552503,-0.18417469705659084,0.4035359335651482,-0.03293362345935016,0.5846846846846847,,,,,,,,0.9996914241961558,0.9677973716015532,1110,herc,hierarchical
0.06835302129599441,0.09265614812381381,0.7377062686078444,-0.1891600514504782,0.36135019403866636,-0.030671520527882214,0.5900900900900901,,,,,,,,0.9996182796569036,0.9633631427575373,1110,max_diversification,risk_based
